policy_id,region_id,user_type,voltage_level,season_type,policy_name,flat_price,peak_ratio,valley_ratio,peak_price,valley_price,sharp_price,deep_valley_price,effective_date,expiry_date,source_id,notes
GD_COMM_1,GD,工商业,不满1千伏,全年,广东省峰谷分时电价政策,0.4530,1.70,0.38,0.7701,0.1721,0.9626,,2021-10-01,,GD_2021_331,峰平谷比价1.7:1:0.38 尖峰在峰段基础上上浮25% 仅7-9月≥35℃执行
GD_V2G_1,GD,工商业,不满1千伏,全年,广东省新能源汽车放电上网电价,0.4530,1.70,0.38,0.7701,0.1721,0.9626,,2025-05-01,,GD_2025_V2G,放电上网电价沿用粤发改价格〔2021〕331号时段和比价
JS_COMM_1,JS,工商业,不满1千伏,全年,江苏省工商业分时电价政策,0.8000,1.50,0.50,1.2000,0.4000,,,2025-06-01,,JS_2025_0601,夏季中午12-14点/14-16点执行谷电 下浮65% 时段详见periods
JS_RES_1,JS,居民,不满1千伏,全年,江苏省居民峰谷分时电价,0.5583,1.00,0.64,0.5583,0.3583,,,,,JS_2025_1008,居民峰0.5583元 谷0.3583元 需申请开通
SD_COMM_1,SD,工商业,1-10千伏,全年,山东省工商业分时电价政策,0.6559,1.70,0.30,1.1150,0.1968,1.3118,0.0656,2026-01-01,,SD_2026_公告,高峰上浮70% 低谷下浮70% 尖峰上浮100% 深谷下浮90% 时段分季节调整
SD_RES_1,SD,居民,不满1千伏,全年,山东省居民峰谷分时电价,0.5769,1.00,0.55,0.5769,0.3169,,,,,SD_2026_电价表,居民峰段6:00-22:00 谷段22:00-6:00 需申请开通
ZJ_COMM_1,ZJ,工商业,1-10千伏,夏冬季,浙江省工商业分时电价政策,0.7380,1.57,0.61,1.1447,0.4509,1.2404,0.3552,2026-07-01,,ZJ_2026_112,浮动倍率尖峰2.05 高峰1.85 平段1.00 低谷0.40 深谷0.20 购电基数0.4785
ZJ_COMM_2,ZJ,工商业,1-10千伏,春秋季,浙江省工商业分时电价政策,0.7380,1.55,0.61,1.1447,0.4509,,,2026-07-01,,ZJ_2026_112,春秋季无尖峰时段 高峰16:00-23:00
NM_COMM_1,NM,工商业,不满1千伏,大风季,蒙西电网工商业分时电价,0.4772,1.68,0.48,0.8017,0.2291,,,2024-02-01,,NM_2024_分时,大风季1-5月/9-12月 峰上浮68% 谷下浮52% 峰谷比价3.5:1
NM_COMM_2,NM,工商业,不满1千伏,小风季,蒙西电网工商业分时电价,0.4772,1.54,0.44,0.7349,0.2100,,,2024-02-01,,NM_2024_分时,小风季6-8月 峰上浮54% 谷下浮56%
