id,policy_id,original_name,standard_category,start_time,end_time,season_type,price_value,price_unit,data_status,notes
1,1,尖峰,尖峰,11:00,12:00,夏季,0.9213,元/kWh,modeled,广东夏季大工业尖峰——基于平段0.63元/kWh+尖峰上浮25%+峰上浮17%计算
2,1,尖峰,尖峰,15:00,17:00,夏季,0.9213,元/kWh,modeled,广东夏季大工业尖峰
3,1,高峰,峰,10:00,11:00,夏季,0.7371,元/kWh,modeled,广东夏季峰段 平段上浮17%
4,1,高峰,峰,14:00,15:00,夏季,0.7371,元/kWh,modeled,广东夏季峰段
5,1,高峰,峰,17:00,19:00,夏季,0.7371,元/kWh,modeled,广东夏季峰段
6,1,平段,平,8:00,10:00,夏季,0.6300,元/kWh,estimated,广东夏季平段（含输配电价等）
7,1,平段,平,12:00,14:00,夏季,0.6300,元/kWh,estimated,
8,1,平段,平,19:00,24:00,夏季,0.6300,元/kWh,estimated,
9,1,低谷,谷,0:00,8:00,夏季,0.3465,元/kWh,modeled,广东夏季谷段 平段下浮45%
10,2,高峰,峰,10:00,12:00,春秋季,0.7371,元/kWh,modeled,广东春秋季无尖峰
11,2,高峰,峰,14:00,19:00,春秋季,0.7371,元/kWh,modeled,
12,2,平段,平,8:00,10:00,春秋季,0.6300,元/kWh,estimated,
13,2,平段,平,12:00,14:00,春秋季,0.6300,元/kWh,estimated,
14,2,平段,平,19:00,24:00,春秋季,0.6300,元/kWh,estimated,
15,2,低谷,谷,0:00,8:00,春秋季,0.3465,元/kWh,modeled,
16,5,夏季尖峰,尖峰,14:00,15:00,夏季,0.7560,元/kWh,modeled,江苏夏季尖峰 峰段上浮20%
17,5,夏季尖峰,尖峰,19:30,21:30,夏季,0.7560,元/kWh,modeled,
18,5,高峰,峰,8:00,11:00,夏季,0.6300,元/kWh,estimated,
19,5,平段,平,11:00,17:00,夏季,0.6300,元/kWh,estimated,含原峰期17:00-18:00调整为平期
20,5,平段,平,17:00,18:00,夏季,0.6300,元/kWh,estimated,原峰期调整为平期
21,5,平段,平,18:00,19:30,夏季,0.6300,元/kWh,estimated,
22,5,平段,平,21:30,24:00,夏季,0.6300,元/kWh,estimated,
23,5,低谷,谷,0:00,8:00,夏季,0.2835,元/kWh,modeled,江苏谷段下浮55%
24,6,冬季尖峰,尖峰,18:00,20:00,冬季,0.7560,元/kWh,modeled,江苏冬季尖峰 峰段上浮20%
25,6,高峰,峰,8:00,11:00,冬季,0.6300,元/kWh,estimated,
26,6,平段,平,11:00,18:00,冬季,0.6300,元/kWh,estimated,
27,6,平段,平,20:00,24:00,冬季,0.6300,元/kWh,estimated,
28,6,低谷,谷,0:00,8:00,冬季,0.2835,元/kWh,modeled,
29,7,尖峰,尖峰,10:00,11:00,夏季,0.9450,元/kWh,modeled,山东夏季尖峰 峰段基础再上浮
30,7,尖峰,尖峰,19:00,21:00,夏季,0.9450,元/kWh,modeled,
31,7,高峰,峰,8:00,10:00,全年,0.7240,元/kWh,modeled,山东峰段上浮约50%
32,7,高峰,峰,16:00,22:00,全年,0.7240,元/kWh,modeled,
33,7,平段,平,6:00,8:00,全年,0.4827,元/kWh,estimated,山东平段
34,7,平段,平,15:00,16:00,全年,0.4827,元/kWh,estimated,
35,7,平段,平,22:00,24:00,全年,0.4827,元/kWh,estimated,
