id,province_id,season_type,user_type,voltage_level,original_period_name,standard_category,start_time,end_time,price_yuan_kwh,price_basis,source_id,policy_effective_date,policy_expire_date,data_status,caliber_note
1,1,全年,工商业（代理购电用户）,1-10千伏,高峰,峰,10:00,12:00,,峰平谷比价1.7:1:0.38；具体价格随代理购电价格月度浮动,1,2021-10-01,,真实数据,广东省峰平谷比价为1.7:1:0.38；平段以代理购电价格为基准
2,1,全年,工商业（代理购电用户）,1-10千伏,高峰,峰,14:00,19:00,,峰平谷比价1.7:1:0.38；具体价格随代理购电价格月度浮动,1,2021-10-01,,真实数据,广东省峰平谷比价为1.7:1:0.38；平段以代理购电价格为基准
3,1,全年,工商业（代理购电用户）,1-10千伏,低谷,谷,00:00,08:00,,峰平谷比价1.7:1:0.38；具体价格随代理购电价格月度浮动,1,2021-10-01,,真实数据,广东省峰平谷比价为1.7:1:0.38；平段以代理购电价格为基准
4,1,全年,工商业（代理购电用户）,1-10千伏,平段,平,08:00,10:00,,平段=代理购电价格基准,1,2021-10-01,,真实数据,广东省平段以代理购电价格为基准
5,1,全年,工商业（代理购电用户）,1-10千伏,平段,平,12:00,14:00,,平段=代理购电价格基准,1,2021-10-01,,真实数据,广东省平段以代理购电价格为基准
6,1,全年,工商业（代理购电用户）,1-10千伏,平段,平,19:00,24:00,,平段=代理购电价格基准,1,2021-10-01,,真实数据,广东省平段以代理购电价格为基准
7,1,夏季（7-9月及高温日）,工商业（代理购电用户）,1-10千伏,尖峰,尖峰,11:00,12:00,,尖峰在峰段基础上上浮25%,1,2021-10-01,,真实数据,尖峰执行时间：7/8/9月及日最高气温≥35℃的高温天；每日11-12时、15-17时
8,1,夏季（7-9月及高温日）,工商业（代理购电用户）,1-10千伏,尖峰,尖峰,15:00,17:00,,尖峰在峰段基础上上浮25%,1,2021-10-01,,真实数据,尖峰执行时间：7/8/9月及日最高气温≥35℃的高温天
9,2,夏冬两季（6-8月/12-2月）,工商业,1-10千伏,尖峰,尖峰,14:00,15:00,,尖峰在峰段基础上上浮20%；仅7-8月执行此时段,2,2025-06-01,,真实数据,315千伏安及以上工业用电；7-8月14:00-15:00和19:30-21:30
10,2,夏冬两季（6-8月/12-2月）,工商业,1-10千伏,尖峰,尖峰,19:30,21:30,,尖峰在峰段基础上上浮20%；仅7-8月执行此时段,2,2025-06-01,,真实数据,315千伏安及以上工业用电；7-8月
11,2,夏冬两季（6-8月/12-2月）,工商业,1-10千伏,尖峰,尖峰,18:00,20:00,,尖峰在峰段基础上上浮20%；仅12月-次年1月执行,2,2025-06-01,,真实数据,315千伏安及以上工业用电；12月至次年1月18:00-20:00
12,2,夏冬两季（6-8月/12-2月）,工商业,1-10千伏,峰段,峰,14:00,22:00,,以工商业用户购电价格为基准浮动,2,2025-06-01,,真实数据,夏冬两季峰段统一14:00-22:00
13,2,夏冬两季（6-8月/12-2月）,工商业,1-10千伏,平段,平,6:00,11:00,,以工商业用户购电价格为基准,2,2025-06-01,,真实数据,夏冬两季平段
14,2,夏冬两季（6-8月/12-2月）,工商业,1-10千伏,平段,平,13:00,14:00,,以工商业用户购电价格为基准,2,2025-06-01,,真实数据,夏冬两季平段
15,2,夏冬两季（6-8月/12-2月）,工商业,1-10千伏,平段,平,22:00,24:00,,以工商业用户购电价格为基准,2,2025-06-01,,真实数据,夏冬两季平段
16,2,夏冬两季（6-8月/12-2月）,工商业,1-10千伏,谷段,谷,0:00,6:00,,以工商业用户购电价格为基准浮动,2,2025-06-01,,真实数据,夏冬两季谷段
17,2,夏冬两季（6-8月/12-2月）,工商业,1-10千伏,谷段,谷,11:00,13:00,,以工商业用户购电价格为基准浮动,2,2025-06-01,,真实数据,夏冬两季谷段；午间增设低谷
18,2,春秋两季（3-5月/9-11月）,工商业,1-10千伏,峰段,峰,15:00,22:00,,以工商业用户购电价格为基准浮动,2,2025-06-01,,真实数据,春秋两季峰段
19,2,春秋两季（3-5月/9-11月）,工商业,1-10千伏,平段,平,6:00,10:00,,以工商业用户购电价格为基准,2,2025-06-01,,真实数据,春秋两季平段
20,2,春秋两季（3-5月/9-11月）,工商业,1-10千伏,平段,平,14:00,15:00,,以工商业用户购电价格为基准,2,2025-06-01,,真实数据,春秋两季平段
21,2,春秋两季（3-5月/9-11月）,工商业,1-10千伏,平段,平,22:00,24:00,,以工商业用户购电价格为基准,2,2025-06-01,,真实数据,春秋两季平段
22,2,春秋两季（3-5月/9-11月）,工商业,1-10千伏,谷段,谷,2:00,6:00,,以工商业用户购电价格为基准浮动,2,2025-06-01,,真实数据,春秋两季谷段
23,2,春秋两季（3-5月/9-11月）,工商业,1-10千伏,谷段,谷,10:00,14:00,,以工商业用户购电价格为基准浮动,2,2025-06-01,,真实数据,春秋两季谷段；午间低谷4小时
24,3,全年,工商业,35千伏,尖峰,尖峰,17:00,20:00,1.20,以平段0.71元/kWh为基准上浮约69%（尖峰上浮100%）,3,2024-01-01,,真实数据,山东省2025年4月示例：尖峰17:00-20:00电价1.2元/kWh；全年执行
