id,province_id,missing_field,reason,search_effort,next_step
1,1,具体到户电价数值,广东省工商业目录电价已取消，代理购电价格按月浮动，无法固定单一电价数值,已检索粤发改价格〔2021〕331号原文及广东省发改委官网确认，代理购电价格按月发布,可访问南网在线APP或广东电网官网获取月度代理购电价格
2,5,蒙西电网具体到户电价数值,内蒙古蒙西电网代理购电价格按月浮动，且分电压等级不同,已检索自治区发改委文件原文及阿拉善盟政府转载,可访问内蒙古电力交易中心获取月度代理购电价格
3,6,蒙东电网具体到户电价数值,内蒙古蒙东电网代理购电价格按月浮动，且分电压等级不同,已检索自治区发改委文件原文,可访问国网内蒙古东部电力官网获取月度代理购电价格
4,2,江苏工商业具体到户电价数值,江苏工商业用户购电价格为基础浮动，具体价格随月度代理购电价格变化,已检索苏发改价格发〔2025〕426号原文及南京发改委转载,可访问国网江苏电力官网获取月度代理购电价格
5,4,浙江工商业具体到户电价数值,浙江以平段为基准浮动，平段价格随上网电价等月度变化,已检索浙发改价格〔2026〕112号原文及浙江政府门户网站,可访问国网浙江省电力公司官网获取月度代理购电价格
6,1,居民分时电价具体数值,广东省居民用户可自主选择执行峰谷分时电价，具体电价需根据阶梯电价计算,已检索广东省发改委相关文件,居民峰谷电价=阶梯电价×峰平谷系数（1.7/1/0.38）
7,2,居民分时电价具体数值,江苏省居民生活用电实行峰谷分时电价和阶梯电价政策，具体计算复杂,已检索江苏发改委相关文件,居民峰谷电价需根据阶梯基数和峰谷系数计算
8,3,居民分时电价峰谷系数,山东省居民分时电价分峰谷两段，具体价格因阶梯档位不同,已检索山东发改委新闻发布会信息,峰段0.58元/度、谷段0.37元/度为参考值
9,4,居民分时电价具体数值,浙江省本次政策未涵盖居民用户，居民分时电价另行制定,已检索浙发改价格〔2024〕21号及〔2026〕112号,居民分时电价政策另行制定
10,5,居民分时电价具体数值,内蒙古蒙西/蒙东居民分时电价政策未在本次工商业文件中涵盖,已检索自治区发改委文件,居民分时电价需另行查阅
