id,region_id,title,policy_doc_number,user_type,voltage_level,season_type,flat_price,price_unit,effective_date,expiry_date,source_id,notes,data_type,created_at
1,1,广东省峰谷分时电价政策,粤发改价格〔2021〕331号,工商业,全省统一,全年,0.65,元/kWh,2021-08-01,,1,全省执行统一时段划分；尖峰电价7月8月9月执行；峰平谷比价1.7:1:0.38,real,2026-07-25 01:00:54
2,2,江苏省工商业分时电价结构优化政策,苏发改价格发〔2025〕426号,工商业-两部制,1-10(20)kV及以上,夏冬季,0.4361,元/kWh,2025-06-01,,2,两部制电价；峰段上浮80%，谷段下浮65%；增设午间谷时段,real,2026-07-25 01:00:54
3,2,江苏省工商业分时电价结构优化政策,苏发改价格发〔2025〕426号,工商业-两部制,1-10(20)kV及以上,春秋季,0.4361,元/kWh,2025-06-01,,2,两部制电价；峰段上浮80%，谷段下浮65%,real,2026-07-25 01:00:54
4,2,江苏省工商业分时电价结构优化政策,苏发改价格发〔2025〕426号,工商业-单一制,100kVA及以上,夏冬季,0.4361,元/kWh,2025-06-01,,2,单一制100kVA及以上；峰段上浮70%，谷段下浮65%,real,2026-07-25 01:00:54
5,3,山东省工商业分时电价政策,鲁发改价格〔2022〕997号/鲁发改价格〔2023〕914号,工商业,全省统一,1-2月/12月,0.71,元/kWh,2024-01-01,,3,五段式：尖峰上浮100%，高峰上浮70%，低谷下浮70%，深谷下浮90%,real,2026-07-25 01:00:54
6,3,山东省工商业分时电价政策,鲁发改价格〔2022〕997号/鲁发改价格〔2023〕914号,工商业,全省统一,3-5月,0.71,元/kWh,2024-01-01,,3,春季时段,real,2026-07-25 01:00:54
7,3,山东省工商业分时电价政策,鲁发改价格〔2022〕997号/鲁发改价格〔2023〕914号,工商业,全省统一,6月,0.71,元/kWh,2024-01-01,,3,6月夏季时段,real,2026-07-25 01:00:54
8,3,山东省工商业分时电价政策,鲁发改价格〔2022〕997号/鲁发改价格〔2023〕914号,工商业,全省统一,7-8月,0.71,元/kWh,2024-01-01,,3,7-8月夏季时段,real,2026-07-25 01:00:54
9,3,山东省工商业分时电价政策,鲁发改价格〔2022〕997号/鲁发改价格〔2023〕914号,工商业,全省统一,9-11月,0.71,元/kWh,2024-01-01,,3,秋季时段,real,2026-07-25 01:00:54
10,4,浙江省工商业峰谷分时电价政策,浙发改价格〔2024〕21号,大工业,1-10(20)kV及以上,春秋季,0.7,元/kWh,2024-03-01,,4,春秋季：高峰上浮65%，低谷下浮55%，深谷下浮80%,real,2026-07-25 01:00:54
11,4,浙江省工商业峰谷分时电价政策,浙发改价格〔2024〕21号,大工业,1-10(20)kV及以上,夏冬季,0.7,元/kWh,2024-03-01,,4,夏冬季：尖峰上浮98%，高峰上浮65%，低谷下浮62%，深谷下浮80%,real,2026-07-25 01:00:54
12,4,浙江省工商业峰谷分时电价政策,浙发改价格〔2024〕21号,一般工商业,1-10(20)kV及以上,春秋季,0.7,元/kWh,2024-06-01,,4,一般工商业春秋季：高峰上浮50%，低谷下浮55%,real,2026-07-25 01:00:54
13,4,浙江省工商业峰谷分时电价政策,浙发改价格〔2024〕21号,一般工商业,1-10(20)kV及以上,夏冬季,0.7,元/kWh,2024-06-01,,4,一般工商业夏冬季：尖峰上浮65%，高峰上浮50%，低谷下浮62%,real,2026-07-25 01:00:54
14,5,内蒙古蒙西电网工商业分时电价政策,内发改价费字〔2023〕1630号,工商业,1-10(20)kV,大风季,0.4933,元/kWh,2024-02-01,,5,蒙西大风季：平段电价0.4933元/kWh(不满1kV单一制)；峰上浮68%，谷下浮52%,real,2026-07-25 01:00:54
15,5,内蒙古蒙西电网工商业分时电价政策,内发改价费字〔2023〕1630号,工商业,1-10(20)kV,小风季,0.4933,元/kWh,2024-02-01,,5,蒙西小风季；峰上浮54%，谷下浮56%；6-8月执行尖峰深谷,real,2026-07-25 01:00:54
16,5,内蒙古蒙东电网工商业分时电价政策,内发改价费字〔2023〕1630号,工商业,1-10(20)kV,全年,0.4661,元/kWh,2024-02-01,,5,蒙东电网：峰上浮68%，谷下浮52%,real,2026-07-25 01:00:54
